sla,rating,complaint_ref_no,incident_date,mode,channel_type,from_fois,complaint_type,sub_type,zn_cd,div_cd,dept_cd,\nSTATUS,\ncreated_on,modified_on,diff,complaint,remarks,train_station,own_zn_cd,own_div_cd,commodity_name,forwarded,train_class,berth_no,feedback_remarks,next_station,physical_coach_no,train_name
No,Unsatisfactory,2.02404E+12,02-04-2024 05:41,S,A,0,Cleanliness,Waiting Room / Retiring Room,ER,MLDT,CHG,Closed,02-04-2024 05:49,02-04-2024 06:15,00:26,Retiring Room and tolet is not proper clean and systern not working. Second many garbeg out side of window and no window curtains hang properly ,DEAR PASSENGER WE ARE INFORM TO BGP SS AND COMMERCIAL DEPT FOR IMMEDIATE CLEANING.THAN YOU.,BGP,,,,1,,,Nobody has come yet. ,,,NA
SLA 2,,2.02404E+12,,T,H,0,Coach - Maintenance,Others,WR,BVP,CNW,Closed,02-04-2024 05:49,02-04-2024 11:57,06:07,water is not available in the coach S3 ,"Dear Sir, Sorry for the inconvenience caused to you. Your complaint has been noted down and Please appreciate that rectification will take some time. Thank you for bringing this issue to our notice. This will help us to serve our esteemed passengers in a better and efficient manner. We assure you that such incidents will not occur.",19270,WR,BVP,,7,SL,10,,SPN,114568,MFP - PBR EXP [MAIL EXPRESS]
No,,2.02404E+12,02-04-2024 05:49,T,M,0,Punctuality,Late Running,NF,KIR,CHG,Closed,02-04-2024 05:50,02-04-2024 05:59,00:08," My PNR No. is 6906333019. The train is delayed by 6 hours. I need to catch another train (PNR: 6862197624) from Siwan Junction, but it's impossible due to the delay. Please arrange a seat for me on the current train since both have the same destination, Gorakhpur.  ",DEAR SIR THE SAID TRAIN DETAINED IN KATIHAR DIVISION FOR PATH CONGESTION.INCONVENIENCE CAUSED IS DEEPLY REGRETTED.,5778,NF,TSK,,1,SL,16,,HJP,152248,NJP-GKP TOD SPECIAL [TRAIN ON DEMAND]
SLA 2,Unsatisfactory,2.02404E+12,02-04-2024 05:49,T,A,0,Coach - Maintenance,Broken/Missing Toilet Fittings,NR,FZR,CNW,Closed,02-04-2024 05:51,02-04-2024 11:41,05:49,Why has my previous complaint been closed without addressing the same  Ref no: 2024040105457,"   We are sorry for the inconvenience caused, the  AS PER TVC CNL complaint has been ATTENDED AT ERS STATION IN TVC DIVISION BUT NOT ABNORMALITY FOUND HOWEVER MSG GIVEN TO TVC TO ATTEND DURING MAINTENANCE.   Thank you for bringing this issue to our attention. This will help us to serve our respected passengers in a better and efficient manner. We also request you for your valuable feedback for further quality assurance and improvement. We wish you a pleasant, safe and comfortable journey  ",12484,NR,FZR,,8,1A,2,A complete video has been taken to abolish your view of No abnormality and at ERS there is hardly a ,TCR,,KCVL EXPRESS [SUPERFAST]
No,,2.02404E+12,02-04-2024 05:45,T,A,0,Security,Nuisance by Hawkers/Beggar/Eunuch,SW,SBC,RPF,Closed,02-04-2024 05:51,02-04-2024 06:14,00:22,"Hi, there are transgenders extorting money outside the SBC railway station. They wont leave people until they give min 10rs. I guess they will be from night to early morning. But this is very difficult and utterly nuisance for the people who ror the people who get down early in the morning. Kindly take action on this.","Sir, Contacted the complainant Shri Naveen stated that, there are transgenders extorting money outside the SBC railway station. They wont leave people until they give min 10rs. He  guess they will be from night to early morning.The same has been informed to on-duty RPF SBC Shri Suresh   Miss Sandya Mob No 7022627 and GRP Control SBC Mob No 9480802140 for information, please.",16591,SW,UBL,,,SL,62,,KGI,174604,UBL-MYS HAMPI EXPRESS [MAIL EXPRESS]
No,,2.02404E+12,,S,H,0,Security,Theft of Passengers Belongings/Snatching,CR,CSTM,RPF,Closed,02-04-2024 05:51,02-04-2024 06:01,00:09,Customer complained that someone had snatched his belongings stolen his luggage bag...  ,श्रीमान आपकी  शिकायत के संबंध मे  आपने बताया की LTT  स्टेशन पर  आपका बेग  चोरी हो गया है संबन्धित आरपीएफ़ पोस्ट LTT मे HC रामनिवास मीना एवं LTT निरीक्षक ने को सूचित किया गया है ।  तथा उनके द्वारा संपर्क कर आपकी  समस्या का निवारण किया जायेगा  उक्त शिकायत के संबंध मे आप महाराष्ट्र पुलिस के आनलाईन पोर्टल http:  mhpolice.maharashtra.gov.in Citizen Login.aspx  पर online चोरी के संबंध मे शिकायत दर्ज कर सकते है ।  आप 8828310026 पर संपर्क कर सकते है । रेल मदद का उपयोग करने के लिए धन्यवाद,LTT,,,,,,,,,,NA
No,,2.02404E+12,02-04-2024 05:49,T,A,0,Punctuality,Late Running,SR,MAS,CHG,Closed,02-04-2024 05:52,02-04-2024 06:06,00:14,"Sir ,   12694 - train is very delay by 1 hour 45 minutes- peral city towards chennai  Now near thindivanam  Why sir so delay ? ",T.NO:12694 [TN-MS] DELAYED DUE TO SIGNAL FAILURE AT MUNDIYAMPAKKAM STATION .THE INCONVENIENCE CAUSED IS DEEPLY REGRETTED.  ,12694,SR,MDU,,1,,,,,,TN-MS   PEARL CITY EXP [SUPERFAST]
No,,2.02404E+12,02-04-2024 05:49,S,A,0,Passenger Amenities,Wi-Fi,NW,AII,SNT,Closed,02-04-2024 05:53,02-04-2024 06:29,00:35,In SZA-Sarotra Road Station Wifi is not working. As many times i have complained about this to Station master they are not doing anything regarding this.,DEAR SIR THE MAINTENANCE OF THIS DONE BY RCIL RAIL TEL. NOTED TO THEM THEY WILL PUT RIGHT THIS AS SOON AS POSSIBLE.  SORRY FOR INCONVENIENCE CAUSED TO YOU. DEEPLY REGRETTED. ,SZA,,,,,,,,,,NA
No,Unsatisfactory,2.02404E+12,02-04-2024 05:46,S,W,0,Luggage / Parcels ,Parcel Facilitation,CR,PUNE,CML,Closed,02-04-2024 05:54,02-04-2024 06:20,00:26,"My bike has not been loaded onto the Daund-Gwalior train, despite me seeing the bike present on the platform.   At Gwalior, I saw two other motorcycles being unloaded, which is very wrong. Why wasn't my bike loaded?   Can you please load it today because I booked it to use for 5 days? If I don't receive it on the scheduled delivery date, then it makes no sense to have it as a parcel. I have paid all the fees, and I have even paid extra for luggage exceeding 500 rupees.    My PRR number is 2019769673.    My main concern is why my bike did not load when I saw it on the platform. At Gwalior, I am seeing other bikes being delivered, which I also saw on the platform. i am sharing my bike image at pune station.   ","Due to unavoidable reasons your parcel could not be loaded ex PUNE yet. Chief parcel supervisor has been instructed to load your parcel at first opportunity. You may call PUNE Parcel office at 020-26105112, 26105110 , 9699746080 to enquire the status of your parcel. Thanks for using Rail Madad. Central Railway will be happy to provide you best of services. ",PUNE,,,Bike/Bicycle/Two wheeler,,,,how much unprofessional. ,,,NA
SLA 2,,2.02404E+12,02-04-2024 05:53,T,M,0,Security,Others ,EO,KUR,CML,Closed,02-04-2024 05:54,02-04-2024 10:10,04:16,"I am travelling in train no 12515. The condition of the coach is horrible. The coach is so dirty, ","Dear sir, your concern was acknowledged to Railway. Matter informed to on duty TTE along with RPF KGP station to attend your coach and assist you in this regard. However, the inconvenience caused is deeply regretted. Thank you for using the Rail madad.  ",12515,NF,LMG,,4,3A,33,,JJKR,204980,CBE-SCL EXPRESS [SUPERFAST]
No,Excellent,2.02404E+12,,S,H,0,Unreserved Ticketing,ATVM,ER,HWH,CML,Closed,02-04-2024 05:54,02-04-2024 06:06,00:11,customer passenger facing the problem ATVM machine not working ,WE REGRET THAT YOU HAVE A CAUSE FOR COMPLAINT. THE MATTER REGARDING FAULTY ATVM HAS BEEN NOTIFIED TO CONCERNED OFFICIALS FOR IMMEDIATE ACTION.,SDI,,,,,,,Kindly Necessary action taken . It happened several times. Atvm supervisor behaviour not good . ,,,NA
SLA 1,,2.02404E+12,,T,H,0,Water Availability,Others ,NR,UMB,CNW,Closed,02-04-2024 05:54,02-04-2024 07:56,02:01,AI Generated Complaint Description:Water is not available.  Complaint User Input:पानी नहीं आ रहा है,"We are sorry for the inconvenience caused to you. Your complaint has been attended by SSE CHG UMB SH B.S. MEENA .Thank you for bringing the issue to our notice. This will help us to serve assurance and improvement. We wish you a happy, safe and comfortable journey ahead! Our esteemed passengers in a better and efficient manner. We also request you for your valuable feedback for further quality. ",15655,NF,LMG,,,SL,9,,SRE,,KYQ-SVDK EXPRESS [MAIL EXPRESS]
No,Satisfactory,2.02404E+12,02-04-2024 05:54,T,M,0,Electrical Equipment,Air Conditioner ,NF,LMG,ELE,Closed,02-04-2024 05:55,02-04-2024 06:25,00:30, A C is not working properly, Sorry for inconvenience. Its rectified by on duty Staff .With regards please. Wish you and your family a good day. Complaints closed after conversation made with the passenger. Thanking You. INDIAN RAILWAY  ,12515,NF,LMG,,,3A,33,I appreciate the quick response taken by railway staff. ,JJKR,204980,CBE-SCL EXPRESS [SUPERFAST]
No,,2.02404E+12,02-04-2024 05:47,T,A,0,Miscellaneous,Miscellaneous,EO,KUR,CML,Closed,02-04-2024 05:55,02-04-2024 06:37,00:42,Another person have same seat and coach number as mine,"Sir, your concern was taken note of. Matter has been discussed with you, as per the PNR number (4818039122) of another passenger as mentioned by you, his ticket was reserved from JTJ to BBS S1, berth no 36, same berth has been reserved and allotted to you From BBS to BHP on 02 04 24. Necessary information has been given to you. Thanks for using rail madad.",12515,NF,LMG,,,SL,36,,JJKR,191980,CBE-SCL EXPRESS [SUPERFAST]
No,,2.02404E+12,,T,H,0,Coach - Cleanliness,Cockroach / Rodents,SR,MAS,CNW,Closed,02-04-2024 05:56,02-04-2024 06:24,00:28,PNR 4505852511 and Phone Number 7007161103,"Sir, The inconvenience caused is deeply regretted. Temporary cleaning has been done by OBHS staff. The complaint has been noted down. Necessary attention will be given during maintenance. Coach will be intensively disinfested during maintenance. We are really sorry that you have faced this type of problem, in future we assure you of non-recurrence of such incidents. Thank you.",16093,SR,MAS,,,2A,31,,SPE,36054,MAS-LJN EXP [MAIL EXPRESS]
No,Satisfactory,2.02404E+12,02-04-2024 05:53,T,A,0,Water Availability,Toilet,SC,SC,CNW,Closed,02-04-2024 05:56,02-04-2024 06:46,00:50,No Water in Toilet and wash areas. Smelling heavily ,"Sir, Sorry for the inconvenience caused , no watering point upto destination,  However we thank you for bringing the matter to our notice and assure you of our best services.  ",17001,SC,SC,,2,2A,35,Thanks for the information. There is slackness at beginning point itself. No man's land,ZB,127070,SNSI-SC EXP [MAIL EXPRESS]
No,Unsatisfactory,2.02404E+12,02-04-2024 05:52,T,A,0,Punctuality,Late Running,SR,MAS,CHG,Closed,02-04-2024 05:56,02-04-2024 06:03,00:07,Almost 30 min train stopped in Mundiyampakkam station,T.NO:06028 [VM-TBM] DELAYED DUE TO SIGNAL FAILURE AT MUNDIYAMPAKKM STATION .THE INCONVENIENCE CAUSED IS DEEPLY REGRETTED.  ,6028,SR,MAS,,,,,This is not a 1st time . We are also passanger .,,,VM-TBM MEMU [MEMU]
No,,2.02404E+12,02-04-2024 05:40,T,A,0,Staff Behaviour,Staff Behaviour,NR,LKO,CML,Closed,02-04-2024 05:56,02-04-2024 07:06,01:10,Other person is setting on booked and confirmed seat at A1 bearth 44. The passengor is sick and TTE is not available in the coach and attendant is also not available . Need help immediately ,Complaint   resolved by On board TTE- Shri Sumit Srivastava.  ,13151,ER,SDAH,,2,2A,44,,,62054,KOAA-JAT EXP [MAIL EXPRESS]
No,,2.02404E+12,02-04-2024 05:27,T,M,0,Coach - Maintenance,Others,NR,DLI,CNW,Closed,02-04-2024 05:56,02-04-2024 06:17,00:20,sir I am travelling in a sampark kranti express from silchar unfortunately the roof of 2AC is leaking due to rains . Who is responsible for such pathetic maintenance of Indian Railway.,"Dear Sir Mam, Thank you for sparing your valuable time in writing to us. Your complaint has been noted down and being informed to concerned official for proper attention. Complaint has been highlighted to higher officials. The Concerned has been strictly warned for the lapses with instructions that such recurrence in future will not be accepted & will be taken up suitably. The inconvenience caused to you is deeply regretted. Thanks for bringing the issue to our notice. This will help us to serve our esteemed passengers in a better and efficient manner. We wish you a happy, safe and comfortable journey ahead.",14037,NR,DLI,,,2A,45,,GLPT,192769,SCL - NDLS PSK EXPRES [MAIL EXPRESS]
No,,2.02404E+12,,S,H,0,Divyangjan Facilities,"Wheel Chair/Battery operated car/Divyang Sahayak (On Payment, Feasible)",WR,BCT,CML,Closed,02-04-2024 05:56,02-04-2024 06:11,00:14,Customer has raised a complaint  that wheel chair is not provided at railway station  Station Name :- Platform No :- Customer mobile no:-,"Good morning Sir, we have been in receipt of your query request on Rail Madad regarding buggy service  battery operated car facility at Surat station , in this regard we would like to state that Railway staff called on your mobile number and contact number of Battery Operated Car were provided (Mobile number- 9004292222). Kindly note , this facility is first come first serve basis. Western railway has every desire to address you requirement and provide the best solution available.We appreciate you utilising Rail Madad.",ST,,,,,,,,,,NA
No,,2.02404E+12,,T,H,0,Security,Nuisance by Hawkers/Beggar/Eunuch,NC,AGRA,RPF,Closed,02-04-2024 05:57,02-04-2024 07:02,01:04,SO MANY PASSENGER DISTURBING CX NEED HELP COACH NO:-S4,"उक्त गाड़ी को RPF कोसी द्वारा अटेंड किया गया जो महिला यात्री भजन गा रही थी उनको शांत किया गया तथा शिकायत कर्ता भी संतुष्ट हुए , महोदय आपकी शिकायत को क्लोज किया जा रहा है  धन्यवाद ",12138,CR,CSTM,,,SL,74,,KSV,196997,FZR-CSMT PUNJAB MAIL [SUPERFAST]
No,,2.02404E+12,02-04-2024 05:55,T,W,0,Coach - Cleanliness,Toilet,NR,FZR,CNW,Closed,02-04-2024 05:57,02-04-2024 07:43,01:46,Toilet badly chocked kindly attend at lko train stop at alamnagar station ,"We are sorry for the inconvenience caused to you. Your remarks if any. Complaint attended by obhs staff as per passenger MS .RUCHIKA JI Thank you for bringing the issue to our notice. This will help us to serve our esteemed passengers in a better and efficient manner. We also request you for your valuable feedback for further quality assurance and improvement. We wish you a happy, safe and comfortable journey ahead!",14650,NR,FZR,,,2A,13,,LKO,182789,SARYUYAMUNA EXP  [MAIL EXPRESS]
No,,2.02404E+12,,S,H,0,Luggage / Parcels ,Booking,NR,DLI,CML,Closed,02-04-2024 05:57,02-04-2024 06:19,00:22,Customer complaint regarding a luggage and parcel booking issue. was costumer is parcel booked in parcel service and cannot get any info and parcel staff members misbehaving with them so please check  ,"INCONVENIENCE IS REGRETTED. CONSIGNMENT WILL BE LOADED AS PER PRIORITY. AND A SMS WILL BE SENT ON REGISTERED MOBILE NO. ALTERNATIVELY, STATUS MAY BE CHECKED ON Railway Parcel Website (parcel.indianrail.gov.in) be feeding PRR No.",DDN,,,Bike/Bicycle/Two wheeler,1,,,,,,NA
No,,2.02404E+12,,T,H,0,Security,Theft of Passengers Belongings/Snatching,SC,GTL,RPF,Closed,02-04-2024 05:58,02-04-2024 06:25,00:26,Customer complained that someone had snatched his belongings stolen his mobile phone from the coach...  ,DSCR GTL contacted the complainant and he stated  that his Realme Mobile had stolen by unknown person during the journey. And the mobile location is showing near Renigunta RS. hence the matter was informed RPF Renigunta to provide necessary assistance to the complainant.,12864,SE,KGP,,1,3A,23,,RJY,192892,SMVB-HWH SUPERFAST EXP [SUPERFAST]
SLA 1,,2.02404E+12,02-04-2024 05:56,S,W,0,Unreserved Ticketing,UTS/ATVM - Digital Payment,ER,HWH,CML,Closed,02-04-2024 05:58,02-04-2024 07:36,01:37,Maximum time atvm machine not available., THIS ISSUE OF ATVM IS FROM SDI.THE COMPLAINANT HAS ALREADY BEEN NOTIFIED THAT THE MATTER REGARDING FAULTY ATVM HAS BEEN NOTIFIED TO CONCERNED OFFICIALS FOR IMMEDIATE ACTION.,,,,,2,,,,,,NA
No,Excellent,2.02404E+12,02-04-2024 05:54,T,W,0,Coach - Cleanliness,Toilet,NW,JU,CNW,Closed,02-04-2024 05:58,02-04-2024 06:35,00:37,Tóilét ma sa watér aa rha ha seats ka pass,cleaning done by OBHS Staff.,14815,NW,JU,,,SL,18,,GDB,104683,SGNR RKSH  EXP [MAIL EXPRESS]
No,,2.02404E+12,,T,H,0,Bed Roll,Non Availability,EO,WAT,CNW,Closed,02-04-2024 05:59,02-04-2024 06:14,00:15,PNR 6733965552 and Phone Number 8658587776,"Sir, Inconvenience caused deeply regretted, conform with passenger bed rool required this train bed rool facility not available, sorry for inconvenience, thank you. ",8522,EO,WAT,,,3A,17,,SCM,101343,VSKP-GNPR PASSENGER [PASSENGER]
No,,2.02404E+12,,T,H,0,Security,Luggage Left Behind/Unclaimed/Suspected Articles,CR,CSTM,RPF,Closed,02-04-2024 05:59,02-04-2024 06:05,00:05,yatri ki thali coach ne rahe gayi hai ,"प्रिय,महोदय आपकी शिकायत हमारे लिए अति महत्वपूर्ण है आपको हुई असुविधा के लिए हमे खेद है। श्रीमानजी उक्त मामले मे शिकायतकर्ता से बात कर आरपीएफ़ पोस्ट CSMT मे HC अमोल  को  नोट कराया गया है । तथा उनके द्वारा आपसे संपर्क कर समस्या का निवारण किया  जाएगा। रेल मदद का उपयोग करने के लिए धन्यवाद ।                                    ",20112,KR,KAWR,,,SL,58,,CSMT,191288,MAO-CSMT KONKAN KANYA SF [SUPERFAST]
No,Excellent,2.02404E+12,02-04-2024 05:56,T,M,0,Coach - Cleanliness,Toilet,WR,BCT,CNW,Closed,02-04-2024 06:00,02-04-2024 06:14,00:14,this is the condition of 3rd AC coach in train number 19052.Toilets are full and their water is flowing through the AC coach... Expected better from you. ,"Dear Sir, the problem faced by you is deeply regretted. Your complaint has been attended. We also request you for your valuable feedback for further quality assurance and improvement. We wish you a happy, safe and comfortable journey ahead.",19052,WR,BCT,,,3A,5,It's attended well. ,PCOI,221567,MFP - BL EXPRESS [MAIL EXPRESS]
No,,2.02404E+12,02-04-2024 05:59,T,M,0,Security,Theft of Passengers Belongings/Snatching,WC,JBP,RPF,Closed,02-04-2024 06:00,02-04-2024 06:43,00:43,"बिलासपुर से रीवा जाने वाली एक्सप्रेस ट्रेन (18247) की S3 कोच में चोरों ने एक महिला गाले से लॉकेट छीन कर ले गए. गस्त की टीम का भय नहीं है, टीम भी गस्त करते नहीं दिख रही है।",श्रीमान मामले के संबंध मे अधिक जानकारी लेने के लिये शिकायतकर्ता के दिये गये नम्बर पर कई बार फोन दिया गया नम्बर लगातार सेवा मे नही है बता रहा है जानकारी के आभाव मे मामले मे कार्यवाही नही की जा सकती है अतः शिकायत को बंद किया जा रहा है।,18247,SB,BSP,,1,,,,,,BSP-REWA EXP [MAIL EXPRESS]
No,Excellent,2.02404E+12,,T,H,0,Security,Theft of Passengers Belongings/Snatching,WR,BCT,RPF,Closed,02-04-2024 06:00,02-04-2024 06:04,00:03,Customer complained that someone had snatched his belonging id wallet in A1 coach seat no is 11 so passenger want help   ,"We have shared the description of your luggage with reroute destination Bandra Terminus- RPF posts with instructions to search, locate and retrieve your valuables and arrange for return after getting in contact with you. We will also inform you as soon as we have more information. Your feedback on our effort is highly appreciated.",19218,WR,BVP,,,2A,11,,BDTS,110735,VRL - BDTS EXP [MAIL EXPRESS]
No,,2.02404E+12,,T,H,0,Electrical Equipment,Charging Points,SR,TVC,ELE,Closed,02-04-2024 06:01,02-04-2024 07:06,01:05,charging point is not working,"sir, sorry for the inconvenience caused, the complaint was checked by the electrical staff, it is difficult to attend the failure during en-route. The same will be attended during the maintenance depot, thank you.",16326,SR,TVC,,,,,,,,KTYM-NIL EXP  [MAIL EXPRESS]
No,,2.02404E+12,02-04-2024 05:55,T,M,0,Security,Unauthorized person in Ladies/Disabled Coach/SLR/Reserve Coach,EO,KUR,CML,Closed,02-04-2024 06:01,02-04-2024 07:17,01:16,there is no place to keep luggage and is full of unwanted passenger. Just like a general coach. A C 3 tier B2.,"Sir, your concern has been attended and resolved by on duty TTE and RPF staff of Train no 12515. Thanks for using rail madad.",12515,NF,LMG,,1,3A,33,,JJKR,204980,CBE-SCL EXPRESS [SUPERFAST]
SLA 1,Unsatisfactory,2.02404E+12,,T,H,0,Medical Assistance,Medical Assistance,WR,BRC,CML,Closed,02-04-2024 06:01,02-04-2024 07:06,01:04,The customer requires medical assistance  as they are facing health issues  ,"Dear Sir, We received your representation through Railmadad, and as per our telephonic conversation, it was revealed that a doctor was required at the next available station.  You were offered 108 ambulance but you have confirmed that it is not an emergency, hence 108 was denied. Hence the doctor has attended at Vadodara station. Now with your permission the complaint is closed after the doctor attended at your seat. In case of any emergency, you can ask the manning staff of the train for help assistance.  Western Railway will be happy to provide the best of services.",19019,WR,BCT,,,SL,79,Doctor ki avaz itni slow thi kai unhonai kya Bola kya nahi kuch samjh nahi aaya or negative attitud ,MYG,217643,DEHRADUN EXP [MAIL EXPRESS]
No,Satisfactory,2.02404E+12,02-04-2024 06:01,T,M,0,Security,Theft of Passengers Belongings/Snatching,SC,NED,RPF,Closed,02-04-2024 06:02,02-04-2024 06:22,00:20,Train no :07638 which is from Shirdi sai nagar to tirupathi on April 1st 07:30 it has been started from shirdi sai nagar at midnight 2-3:30 multiple gold chains were nobbed and the security of the passengers is least bothered,"NOTED SIR, ON DUTY DSCR NED STAFF CONTECTED WITH COMPLAINT,COMPLAINT Mobile number Switch Off DSCR NED ADVISED HIM TO LODGE A FIR WITH NEARST GRP THANA THIS MATTER IS INFORMED TO RPF PARBHANI & DSCR SC FOR N A PLEASE.  ",7638,SC,GTL,,1,,,Now my number is on. I am losing confidence in travelling I dian railways,,,SNSI-TPTY [TRAIN ON DEMAND]
No,,2.02404E+12,,T,H,0,Security,Passenger Missing/Not responding call,NR,UMB,CML,Closed,02-04-2024 06:02,02-04-2024 06:52,00:49,customer complaint- passenger se contact nhi ho rha h ,"Sir Madam, your complaint has been resolved and the action taken is as under  Information has also been conveyed to you, on the telephone. Please submit feedback (Rating) and remarks, as responses received from this office. Please submit feedback (Rating) and remarks, asactions taken by this office.Thank you for using the railway service.  ",14610,NR,FZR,,2,SL,28,,RK,174207,HEMKUNT EXP [MAIL EXPRESS]
No,,2.02404E+12,02-04-2024 05:58,T,A,0,Coach - Cleanliness,Toilet,SR,MAS,CNW,Closed,02-04-2024 06:02,02-04-2024 06:10,00:07,"G5 ,coach is not cleaned properly and the washrooms are in worst possible condition on 3AC. Very bad maintenance ","Sir, Your complaint regarding cleaning has been attended by OBHS staff. Please Help us and contribute in our Endeavour improve our Quality of Service. Your feedback is very important in helping us to improve our service. Thank you & wish you very happy journey. Thanking You.",12612,SR,MAS,,,3A,53,,BPQ,61197,NZM-MAS GARIB RATH SF EXP [GARIB RATH]
No,,2.02404E+12,,T,H,0,Security,Unauthorized person in Ladies/Disabled Coach/SLR/Reserve Coach,SB,NAG,CML,Closed,02-04-2024 06:02,02-04-2024 06:43,00:40,"AI Generated Complaint Description:General passengers are occupying reserved sleeper coaches, please take action.  Complaint User Input:रिजवान और एस्ट्रो में सारे जनरल लोग स्लीपर में भरे हुए हैं कृपया","आपकी शिकायत रेल मदद के द्वारा प्राप्त हुई | आप से हुई बातचीत  के अनुसार, इस के बारे में TTE और RPF STAFF को अवगत किया गया है, आपकी समस्या का समाधान के लिए TTE स्टाफ आपको नजदीक के स्टेशन पर RPF STAFF के साथ ATTEND करने वाले है | आपको हुई असुविधा के लिए हम खेद प्रकट करते है | ",17322,SW,UBL,,2,,,,,,JSME-VSG EXPRESS [MAIL EXPRESS]
No,Excellent,2.02404E+12,,T,H,0,Security,Luggage Left Behind/Unclaimed/Suspected Articles,SC,SC,RPF,Closed,02-04-2024 06:03,02-04-2024 06:18,00:14,Customer has complained that he has forgot to claim his luggage S4 54  ,"Thanks for bringing this to our attention. Contacted the complainant he stated that his backpack was left behind and the backpack was placed  at S4 53, and identification particulars are red colored backpack which contained wallet, ID cards, Bnak cards, and medicines and want to assure you that your complaint has been recorded and forwarded to RPF SC to attend and check. We appreciate your patience and understanding in this matter.  If you have any further queries or concerns, please do not hesitate to contact us",12709,SC,SC,,,,,Thank you for your response and service ,,,GDR-SC SIMHAPURI EXP [SUPERFAST]
No,Excellent,2.02404E+12,,T,H,0,Security,Theft of Passengers Belongings/Snatching,NW,JU,RPF,Closed,02-04-2024 06:04,02-04-2024 06:13,00:08,Customer complained that someone had snatched his belongings  Train No :- Coach No :- Customer mobile no:-   7014943509,"प्रिय रेल यात्री आपको हुई असुविधा के लिये खेद है, RPF द्वारा आपको अगले ठहराव स्टेशन   स्टेशन  जोधपुर पर RPF  STAFF द्वारा अटेंड कर आपकी शिकायत का निस्तारण करेंगे  हमारे प्रयास पर आपकी प्रतिक्रिया हमारा उत्साहवर्द्धन करेगी । धन्यवाद ",14708,NW,BKN,,1,,,,,,RANAKPUR EXP [MAIL EXPRESS]
No,Satisfactory,2.02404E+12,02-04-2024 05:59,T,A,0,Security,Others ,NR,LKO,CML,Closed,02-04-2024 06:04,02-04-2024 07:06,01:02,Other unauthorized person is sitting on booked and confirmed bearth ,Complaint   resolved by On board TTE- Shri Sumit Srivastava.  ,13151,ER,SDAH,,1,2A,44,Railway need to be taken care as TTE is alloting the seats to unauthorized travellers after taking ,,62054,KOAA-JAT EXP [MAIL EXPRESS]
No,Excellent,2.02404E+12,02-04-2024 05:08,T,W,0,Coach - Cleanliness,Coach Interior,NE,LJN,CNW,Closed,02-04-2024 06:04,02-04-2024 06:38,00:33,"Coach very dirty, previous seat was occupied by person traveling without ticket, they soiled seats and interior with kids potty, coach staff is not having basic sanitizer etc. very bad experience.","Sorry for the inconvenience caused to you, Talked to the passenger Mr.Sachin iji Sir your complaint regarding Toil cleaning in coach no B-4  berth no 34  is attended by OBHS staff. We will be highly appreciative of your feedback and we wish you a happy, safe, and comfortable journey ahead.  ",15066,NE,LJN,,,3A,34,"Thanks for prompt service.  Keep it up, Thanks again.",BHS,213102,PNVL-GKP EXP  [MAIL EXPRESS]
SLA 1,,2.02404E+12,,T,H,0,Punctuality,Late Running,EC,MGS,CHG,Closed,02-04-2024 06:05,02-04-2024 08:31,02:26,Customer has raised a complaint due to later running of train[emergency ,Thanks for reaching out to us. . We are putting our best effort to cover up this late running train . We regret highly for your inconvenience. Regards.,2355,EC,DNR,,1,SL,42,,GOY,44741,RJPB-ANVT SF EXPRESS SPL [TRAIN ON DEMAND]
No,Excellent,2.02404E+12,,T,H,0,Coach - Cleanliness,Toilet,WC,BPL,CNW,Closed,02-04-2024 06:06,02-04-2024 06:50,00:43,toilets are not clened please kindly look ,"Dear passenger, cleaning has been attended by OBHS. Kindly share your feedback on our efforts, it will be highly appreciated.",1666,WC,BPL,,,SL,3,Good,DNR,134093,AGTL-RKMP FESTIVAL SPL [TRAIN ON DEMAND]
No,,2.02404E+12,02-04-2024 06:05,T,A,0,Punctuality,Late Running,NE,BSB,CHG,Closed,02-04-2024 06:06,02-04-2024 06:27,00:21,Train no 15105 is running late from CPR,"Dear passenger we regret your inconvenience The train was running late due to bunching of the train & no room. However, we assure you that all steps are being taken to make up further punctuality of your train, your train is being monitored, it will start shortly. Serving you in best possible ways.",15105,NE,BSB,,1,,,,,,CPR-NTV INTERCITY  EXP [MAIL EXPRESS]
No,Unsatisfactory,2.02404E+12,02-04-2024 06:03,T,W,0,Catering & Vending Services,Food Quality & Quantity,IRC,WEST_ZONE,IRCTG,Closed,02-04-2024 06:07,02-04-2024 08:04,01:57,Options like Premix Tea   Green Tea are not provided during Evening and Morning tea as per menu. Only option given is normal tea bag.,"Madam Sir, Strict action is being taken on the licensee as per the terms and conditions of the contract, post inquiry. We assure you to provide best services onboard.",12957,WR,ADI,,,2A,16,The same issues are being repeated on each and every journey. Even if I travel again tomorrow.,GGN,223285,SWARNA JAYANTI RAJDHANI [RAJDHANI]
No,Satisfactory,2.02404E+12,02-04-2024 06:06,S,M,0,Miscellaneous ,Miscellaneous,SW,UBL,CHG,Closed,02-04-2024 06:07,02-04-2024 06:38,00:30,Byc sm behaviour very bad TMR KE SATH ME BYC STATION AT UBL DIVISION without uniform duty p,Sir your compliant is forwarded to higher concerned officials. ,TMR,,,,1,,,Thank you sir ,,,NA
